rank_date,rank_position,bvid,aid,title,author,category,main_category,tid,duration,view_count,danmaku_count,reply_count,like_count,coin_count,favorite_count,share_count,pubdate,video_url,cover_url
2026-06-05,65,BV1aUVB6cE4P,116680185353959,说个事儿,麦片是只小金毛,社科·法律·心理,知识,124,411,487904,3029,3810,61919,22970,7967,5687,1780398768,https://www.bilibili.com/video/BV1aUVB6cE4P,http://i1.hdslb.com/bfs/archive/6d8fa2c40f1dd5d4be4980602da4f1c6fd72ca5b.jpg
2026-06-05,66,BV17pVC6WECy,116681544304592,带良子和花胖在华哥训练营偷吃，闷子、板面、大肠都安排上,俞涛不光会做九转大肠,美食记录,美食,215,247,1419971,875,2278,67838,1623,3978,2496,1780455600,https://www.bilibili.com/video/BV17pVC6WECy,http://i1.hdslb.com/bfs/archive/ecf1293c7f3c2f89f52a51e5ad0ce5201f1be340.jpg
2026-06-05,67,BV1REV56YEjz,116663122926337,50秒一片肉，火力全开，快到起飞,左手刀鹏哥,日常,生活,21,59,6618637,1531,7823,267557,6580,13122,5636,1780138201,https://www.bilibili.com/video/BV1REV56YEjz,http://i1.hdslb.com/bfs/archive/4d7ccd61eaa71d221ff926561ee7efac7b5c1b1f.jpg
2026-06-05,68,BV15tVr6GE6V,116680319571440,《马老师啊》,嘞是唐孃孃,搞笑,娱乐,138,85,1385253,390,1580,127867,1125,5099,1776,1780400685,https://www.bilibili.com/video/BV15tVr6GE6V,http://i2.hdslb.com/bfs/archive/0b7663a0e374c8d521bbf783e3cfd44d3fb635d6.jpg
2026-06-05,69,BV1TL796CE52,116685721830606,歌剧老师锐评韩娱BLACKPINK  JYP & MAMAOO Red Velvet TWICE,铁豆钢蛋,乐评盘点,音乐,243,3086,769751,20576,9982,41012,17974,6890,2366,1780483444,https://www.bilibili.com/video/BV1TL796CE52,http://i1.hdslb.com/bfs/archive/ab6356296c8f9523a858fc15dd4a808fbc51b773.jpg
2026-06-05,70,BV12SVo6GE6E,116674799864807,杀人热浪如何卡死印度发展命脉？,世界见闻录,人文历史,知识,228,884,1156488,5199,4527,53948,4642,6502,968,1780394700,https://www.bilibili.com/video/BV12SVo6GE6E,http://i0.hdslb.com/bfs/archive/bca8168108de85cd8db3fc2b5647ee07388ed6bc.jpg
2026-06-05,71,BV1gWVd6GEna,116673323603460,期末到了，你们寝室准备好应对之策了吗,灵霖七,日常,生活,21,200,1743470,1211,1957,81041,13528,13427,6084,1780293767,https://www.bilibili.com/video/BV1gWVd6GEna,http://i0.hdslb.com/bfs/archive/d0a8e406e4231a2cad0caefda83bab3276dc8059.jpg
2026-06-05,72,BV14FVE6AEze,116667149517318,不止抽象！内娱唯一的硬汉！盘点嘎子谢孟伟职业生涯高光演技,文西与阿漆,影视杂谈,影视,182,1050,2383205,15973,6435,163554,34710,15141,4283,1780304700,https://www.bilibili.com/video/BV14FVE6AEze,http://i0.hdslb.com/bfs/archive/2105e724eb0f4af98e4443b568807fe1d19d5160.jpg
2026-06-05,73,BV1bwV161Er2,116684413209270,【aespa】LEMONNNN,aespa,音乐综合,音乐,130,11,4070988,5182,11973,71251,15276,7483,3104,1780475400,https://www.bilibili.com/video/BV1bwV161Er2,http://i1.hdslb.com/bfs/archive/1e63fbee388c793dc0403c872eefb52a8d7d8615.jpg
2026-06-05,74,BV1Nk7X6TEnq,116686023955827,半个小孩，全部的妈妈,超级猫猫兽,同人·手书,动画,47,483,496444,1283,3928,66809,11374,17541,3173,1780487705,https://www.bilibili.com/video/BV1Nk7X6TEnq,http://i0.hdslb.com/bfs/archive/25cb3d6f6dd951590c71a8ea993463455554b0c6.jpg
2026-06-05,75,BV1rMVz67EMs,116679967312875,开关灯木头人挑战！,酱油白米饭原创,小剧场,娱乐,85,99,1999549,346,554,82339,1459,18593,2509,1780395433,https://www.bilibili.com/video/BV1rMVz67EMs,http://i0.hdslb.com/bfs/archive/b909eaaf95648e5156635c9c1afd57ac6da69f64.jpg
2026-06-05,76,BV16iV96sEtP,116672686000149,APP窗口乱跳转的“传送门”该关上了！,人民日报,日常,生活,21,41,2500194,13409,15711,342392,29148,14186,13822,1780283954,https://www.bilibili.com/video/BV16iV96sEtP,http://i1.hdslb.com/bfs/archive/cdd5978f6eebaf8db0e8c97dbf9c2cdedabd92b9.jpg
2026-06-05,77,BV1wEEc6REms,116692097238799,城市大富翁（5）,雨哥到处跑,日常,生活,21,3847,345989,14754,3007,50168,40654,14527,2356,1780628700,https://www.bilibili.com/video/BV1wEEc6REms,http://i1.hdslb.com/bfs/archive/8628e50dc2e56aec5815c8e3f665d304cfe23d80.jpg
2026-06-05,78,BV1Qt7X61Enn,116686241993999,百万英镑，但素质过低,青时晚,影视剪辑,影视,183,174,810214,918,1005,52813,3394,12583,5162,1780490956,https://www.bilibili.com/video/BV1Qt7X61Enn,http://i0.hdslb.com/bfs/archive/1573985b4950f4d1001b3a21a50adab722b0a0f1.jpg
2026-06-05,79,BV1ps796qErr,116685822560107,谁在等谁的出现,为了我活下去,综合,综合,27,36,428192,228,1329,127767,6446,19363,1563,1780484521,https://www.bilibili.com/video/BV1ps796qErr,http://i1.hdslb.com/bfs/archive/49a476c711b1d61ec7ffa37684a398ddb857435a.jpg
